,f1-score,precision,recall,support
Computerspiel nach Plattform,0.9565217391304348,1.0,0.9166666666666666,12.0
Herrscher nach Titel,0.923076923076923,1.0,0.8571428571428571,14.0
Internet,0.9411764705882353,1.0,0.8888888888888888,9.0
Krankheit,0.9411764705882353,0.8888888888888888,1.0,8.0
Krieg nach Typ,0.7999999999999999,0.8571428571428571,0.75,8.0
Literaturwissenschaft,0.6666666666666667,0.5555555555555556,0.8333333333333334,6.0
Millionenstadt,0.9565217391304348,0.9166666666666666,1.0,11.0
Oper,0.888888888888889,0.8,1.0,4.0
Wald,1.0,1.0,1.0,7.0
Wirtschaft,0.823529411764706,0.875,0.7777777777777778,9.0
accuracy,0.8977272727272727,0.8977272727272727,0.8977272727272727,0.8977272727272727
macro avg,0.8897558309834526,0.8893253968253969,0.9023809523809525,88.0
weighted avg,0.9010272407331231,0.91431727994228,0.8977272727272727,88.0
